timestamp(s),c_head_temp(K),film_burner_temp(K),mainplate_temp(K),he_pump_temp(K),heat_sw_temp(K)
0.07000255584716797,+8.548567E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538000E+01
6.040241479873657,+8.548392E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538000E+01
11.840473413467407,+8.548450E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538100E+01
17.640705347061157,+8.548517E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538000E+01
23.440937280654907,+8.548661E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.538000E+01
29.241169691085815,+8.549286E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
35.041401624679565,+8.549119E-01,1.166000E+00,7.305000E+00,3.964000E+00,2.538000E+01
40.841633558273315,+8.548928E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
46.68186712265015,+8.548763E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538000E+01
52.442097663879395,+8.548733E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.538000E+01
58.262330293655396,+8.548714E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538000E+01
64.0425615310669,+8.548800E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.538000E+01
69.84279346466064,+8.548860E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
75.64302563667297,+8.548833E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.538100E+01
81.44325757026672,+8.548690E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
87.24348950386047,+8.548843E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.538100E+01
93.05372166633606,+8.548644E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538000E+01
98.85395407676697,+8.548696E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
104.65418601036072,+8.548573E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
110.4644181728363,+8.548584E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538100E+01
116.27465081214905,+8.548594E-01,1.166000E+00,7.305000E+00,3.964000E+00,2.538100E+01
122.06488227844238,+8.548814E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538000E+01
127.86511421203613,+8.548738E-01,1.166000E+00,7.305000E+00,3.964000E+00,2.538000E+01
133.66534614562988,+8.548478E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538000E+01
139.4655783176422,+8.548541E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.538000E+01
145.26581025123596,+8.548525E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538000E+01
151.0660421848297,+8.548512E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.538000E+01
156.86627411842346,+8.548556E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538100E+01
162.6665062904358,+8.548528E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
168.46673846244812,+8.548723E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.538000E+01
174.26697039604187,+8.548763E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
180.06720232963562,+8.548653E-01,1.166000E+00,7.305000E+00,3.964000E+00,2.538000E+01
185.86743450164795,+8.548563E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538100E+01
191.65766596794128,+8.548602E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.538100E+01
197.46789836883545,+8.548679E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
203.2681303024292,+8.548806E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.538000E+01
209.06836247444153,+8.548784E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538000E+01
214.86859440803528,+8.548724E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538100E+01
220.66882634162903,+8.548669E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
226.46905827522278,+8.548520E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538100E+01
232.2692904472351,+8.548647E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.537900E+01
238.06952238082886,+8.548544E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
243.8697543144226,+8.548482E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.538000E+01
249.66998624801636,+8.548681E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
255.4702184200287,+8.548782E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.538000E+01
261.27045035362244,+8.548823E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
267.0706822872162,+8.548679E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.538100E+01
272.87091422080994,+8.548636E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538000E+01
278.67114639282227,+8.548545E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538000E+01
284.471378326416,+8.548669E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.537900E+01
290.27161026000977,+8.548655E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
296.0718421936035,+8.548527E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538000E+01
301.87207436561584,+8.548556E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
308.13232469558716,+8.548620E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538000E+01
314.072562456131,+8.548501E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538000E+01
319.87279438972473,+8.548515E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538000E+01
325.6830265522003,+8.548615E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
331.4732584953308,+8.548608E-01,1.166000E+00,7.305000E+00,3.964000E+00,2.537900E+01
337.27349042892456,+8.548571E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.537900E+01
343.0737223625183,+8.548416E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.538000E+01
348.87395429611206,+8.548440E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
354.6741864681244,+8.548499E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.537900E+01
360.47441840171814,+8.548765E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
366.2746503353119,+8.548669E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.537900E+01
372.07488226890564,+8.548687E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
377.87511444091797,+8.548993E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538000E+01
383.6753463745117,+8.548921E-01,1.166000E+00,7.305000E+00,3.964000E+00,2.538000E+01
389.47557830810547,+8.548769E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
395.2758102416992,+8.548698E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.538000E+01
401.07604241371155,+8.548756E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
406.8762743473053,+8.548581E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.538000E+01
412.67650628089905,+8.548699E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.538000E+01
418.4767382144928,+8.548759E-01,1.165000E+00,7.305000E+00,3.964000E+00,2.538000E+01
424.2769703865051,+8.548894E-01,1.166000E+00,7.306000E+00,3.964000E+00,2.537900E+01
430.0772023200989,+8.548938E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538000E+01
435.8774342536926,+8.548796E-01,1.165000E+00,7.306000E+00,3.964000E+00,2.538000E+01
